id,mz,rt,ms1_isotopes,hyuA_UA_1,hyuA_UA_2,hyuA_UA_3,WT_UA_1,WT_UA_2,WT_UA_3
695.3694@5.706,695.3694,5.706,695.36938:4491 696.37273:2013 697.37609:471,12345,13347,13856,12863,14068,11336
697.6341@3.413,697.6341,3.413,697.63409:9218 698.63744:5370 699.6408:838,48692,31507,48585,44197,21317,21229
705.3535@3.955,705.3535,3.955,705.35352:57301 706.35687:26344 707.36023:7090,133652,116506,105797,151177,131952,132496
709.351@5.89,709.351,5.89,709.35101:8354 710.35436:3524 711.35772:858,34847,34499,33615,30195,31394,29707
710.3087@7.567,710.3087,7.567,710.30872:15782 711.31207:7080 712.31543:1622,66261,84572,80092,39516,63259,65454
712.2496@4.532,712.2496,4.532,712.24957:3195 713.25292:1768 714.25628:597,9011,8249,8134,8879,7474,8480
712.3231@5.503,712.3231,5.503,712.32312:10029 713.32647:4114 714.32983:976,27132,15943,13447,19262,21108,36981
712.3589@4.924,712.3589,4.924,712.35889:7465 713.36224:2848 714.3656:971,15635,24569,25158,3037,10710,10669
715.2761@2.826,715.2761,2.826,715.27612:4390 716.27947:2185 717.28283:945,19693,18848,19419,21570,20744,20377
715.3116@3.563,715.3116,3.563,715.31165:41160 716.315:15596 717.31836:4040,87337,78884,79009,107382,103875,100370
716.2022@5.334,716.2022,5.334,716.20221:8310 717.20556:2559 718.20892:465,18835,2222,7.50737380981445,7.50737380981445,18820,10834
718.5343@2.877,718.5343,2.877,718.5343:4123 719.53765:2044 720.54101:368,12063,11240,10399,15284,12999,12759
720.3366@6.934,720.3366,6.934,720.33661:3730 721.33996:1476 722.34332:520,16621,15865,19765,23772,16977,5637
720.3784@4.135,720.3784,4.135,720.37842:18343 721.38177:7262 722.38513:2055,104709,100427,101457,110628,106054,100193
725.6656@3.42,725.6656,3.42,725.66565:7636 726.669:3783 727.67236:1221,27785,41018,27812,35946,36615,18539
727.1323@5.332,727.1323,5.332,727.13226:7742 728.13561:2297 729.13897:460,11705,595,59.4747741699219,59.4747741699219,9524,18425
727.3933@5.733,727.3933,5.733,727.39331:3366 728.39666:1354 729.40002:276,18243,15786,15470,18421,17753,16100
728.3543@6.601,728.3543,6.601,728.35431:20278 729.35766:7869 730.36102:2497,49286,56408,58803,38379,52167,47753
732.2816@5.172,732.2816,5.172,732.28162:3281 733.28497:1275 734.28833:470,5102,4156,6484,8351,4980,4347
734.3052@5.497,734.3052,5.497,734.30524:5305 735.30859:1907 736.31195:624,8650,1624,570,1435,3721,18850
737.2556@2.826,737.2556,2.826,737.25555:6833 738.2589:2734 739.26226:1006,32114,28575,30381,32510,24530,27958
737.2933@3.568,737.2933,3.568,737.29333:5354 738.29668:1819 739.30004:761,14623,13450,15022,16541,16396,16154
738.0619@5.335,738.0619,5.335,738.06189:5439 739.06524:1513 740.0686:254,1533,153.321801757812,153.321801757812,153.321801757812,1837,13606
741.3424@6.316,741.3424,6.316,741.34235:4168 742.3457:2266 743.34906:564,9946,8919,10024,12045,9256,7856
743.3554@8.644,743.3554,8.644,743.35541:3893 744.35876:1836 745.36212:649,5740,32387,41304,3782,7815,2929
748.9904@5.335,748.9904,5.335,748.99042:3054 749.99377:916 750.99713:0,494,49.4302947998047,49.4302947998047,49.4302947998047,703,8216
752.4148@4.545,752.4148,4.545,752.41479:19086 753.41814:7801 754.4215:2639,58291,53057,54249,65266,57320,54135
753.2678@3.568,753.2678,3.568,753.26776:3721 754.27111:1542 755.27447:612,10421,9284,9072,12101,10902,11272
754.5797@0.948,754.5797,0.948,754.57971:3518 755.58306:2190 756.58642:865,7873,7260,6894,7158,7711,6623
758.2185@0.64,758.2185,0.64,758.21851:10569 759.22186:10035 760.22522:8530,1603,27926,28569,18617,12146,2858
769.3816@8.437,769.3816,8.437,769.38165:8006 770.385:4017 771.38836:886,55826,70296,51900,30897,45395,51571
770.3311@6.395,770.3311,6.395,770.33112:6212 771.33447:1929 772.33783:440,49585,51020,40994,32426,36509,40929
770.3977@5.949,770.3977,5.949,770.39771:9135 771.40106:4516 772.40442:1365,30767,43453,44016,22366,27945,27985
770.5761@0.971,770.5761,0.971,770.57611:5997 771.57946:3537 772.58282:1733,13999,13658,13243,13628,13841,11547
773.257@5.337,773.257,5.337,773.25696:5353 774.26031:2164 775.26367:672,8792,4584,10.4482933044434,10.4482933044434,11465,1950
773.3661@6.258,773.3661,6.258,773.36615:3415 774.3695:1664 775.37286:565,9608,8865,8300,9154,9042,8960
784.1883@5.334,784.1883,5.334,784.18829:5694 785.19164:2231 786.195:385,13527,1117,111.699682617188,111.699682617188,13428,10925
784.3677@3.553,784.3677,3.553,784.36774:8645 785.37109:3984 786.37445:1232,12922,12714,11112,26689,24267,24252
786.2771@5.016,786.2771,5.016,786.2771:6028 787.28045:2625 788.28381:233,11218,8684,10759,14067,11193,10353
792.3597@7.078,792.3597,7.078,792.35968:28088 793.36303:12940 794.36639:3710,81918,79387,82018,88119,83643,73885
795.1184@5.335,795.1184,5.335,795.11841:5825 796.12176:1700 797.12512:357,5959,374,37.3629486083984,37.3629486083984,4983,13893
798.6028@0.96,798.6028,0.96,798.60278:5205 799.60613:0 800.60949:0,11164,10944,10200,11602,10853,9469
